t,s_m,pct,plane,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,lag_rad
0.6514,0.05200,0.43,APPROACH,0.305903,0.566069,0.500456,-0.296703,-0.318680,-0.142857,0.293633,0.577208,0.514722,-0.245396,0.222764,0.285325,0.002442,0.080586,0.031746,0.014735,0.056294,0.427212,0.014096,0.062394,0.427068,0.058191,0.431157,0.014266
0.6617,0.05280,0.44,APPROACH,0.304377,0.566832,0.502363,-0.010990,-0.164837,0.098900,0.292189,0.578857,0.516697,-0.243771,0.240500,0.286680,-0.178267,0.119658,0.056166,0.014485,0.056991,0.427186,0.014032,0.063192,0.427068,0.058803,0.431214,0.014334
0.6718,0.05360,0.44,APPROACH,0.302852,0.567214,0.504270,-0.384617,0.120880,0.516483,0.290754,0.580517,0.518682,-0.241959,0.266063,0.288230,0.012210,0.129426,0.056166,0.014147,0.057638,0.427147,0.013967,0.063989,0.427068,0.059349,0.431250,0.014411
0.6818,0.05440,0.45,APPROACH,0.301707,0.567595,0.505796,-0.120880,-0.142857,0.120880,0.289328,0.582187,0.520677,-0.247589,0.291825,0.297605,-0.002442,0.148962,0.046398,0.013895,0.058148,0.427124,0.013903,0.064786,0.427068,0.059785,0.431288,0.014880
0.6927,0.05520,0.46,APPROACH,0.300181,0.567977,0.507322,-0.318680,-0.142857,-0.032967,0.287911,0.583866,0.522681,-0.245403,0.317785,0.307175,-0.041514,0.236875,0.036630,0.013642,0.058746,0.427065,0.013839,0.065584,0.427068,0.060310,0.431302,0.015889
0.7023,0.05600,0.46,APPROACH,0.299037,0.568740,0.509611,-0.230770,0.098900,0.318680,0.286504,0.585556,0.524695,-0.250658,0.336315,0.301683,-0.168498,0.188034,-0.002442,0.013306,0.059401,0.427087,0.013775,0.066381,0.427068,0.060873,0.431404,0.016816
0.7126,0.05680,0.47,APPROACH,0.298274,0.569121,0.511137,-0.120880,0.054947,0.362637,0.285106,0.587255,0.526719,-0.263354,0.362673,0.311645,-0.085470,0.246642,0.051282,0.013053,0.059821,0.427098,0.013711,0.067179,0.427068,0.061228,0.431464,0.018134
0.7225,0.05760,0.47,APPROACH,0.297130,0.569503,0.513426,-0.208790,0.054947,0.406593,0.283718,0.588964,0.528753,-0.268233,0.389230,0.306545,-0.105006,0.222222,-0.002442,0.012630,0.060426,0.427106,0.013646,0.067976,0.427068,0.061732,0.431544,0.019461
0.7326,0.05840,0.48,APPROACH,0.295984,0.570647,0.515715,-0.054947,0.186813,0.714287,0.282339,0.590683,0.530797,-0.272905,0.400727,0.301641,-0.236875,0.246642,0.002442,0.012380,0.061129,0.427137,0.013582,0.068774,0.427068,0.062370,0.431666,0.020036
0.7423,0.05920,0.49,APPROACH,0.294458,0.571410,0.517622,-0.450550,0.252747,0.252747,0.280969,0.592413,0.532850,-0.269778,0.420053,0.304562,-0.065934,0.241758,0.007326,0.012128,0.061824,0.427101,0.013518,0.069571,0.427068,0.063002,0.431723,0.021003
0.7546,0.06000,0.49,APPROACH,0.294077,0.571792,0.518766,0.032967,-0.186813,-0.208790,0.279609,0.594152,0.534913,-0.289351,0.447208,0.322938,-0.105006,0.241758,0.002442,0.011960,0.062106,0.427127,0.013454,0.070368,0.427068,0.063247,0.431785,0.022360
0.7633,0.06080,0.50,APPROACH,0.292551,0.573317,0.521818,-0.032967,0.296703,0.186813,0.278259,0.595901,0.536986,-0.285847,0.451674,0.303364,-0.129426,0.285714,-0.021978,0.011625,0.063043,0.427164,0.013390,0.071166,0.427068,0.064106,0.431947,0.022584
0.7746,0.06160,0.51,APPROACH,0.291788,0.574080,0.524107,0.120880,0.318680,0.450550,0.276917,0.597660,0.539069,-0.297413,0.471598,0.299245,-0.158731,0.310134,-0.046398,0.011287,0.063608,0.427214,0.013325,0.071963,0.427068,0.064602,0.432071,0.023580
0.7832,0.06240,0.51,APPROACH,0.290644,0.574843,0.526396,0.142857,0.098900,0.406593,0.275586,0.599429,0.541162,-0.301161,0.491723,0.295323,-0.197803,0.329670,-0.056166,0.010949,0.064261,0.427227,0.013261,0.072761,0.427068,0.065188,0.432171,0.024586
0.7945,0.06320,0.52,APPROACH,0.289499,0.575606,0.528684,-0.120880,-0.032967,0.252747,0.274263,0.601209,0.543264,-0.304719,0.512048,0.291598,-0.163614,0.349206,-0.056166,0.010610,0.064915,0.427238,0.013197,0.073558,0.427068,0.065776,0.432271,0.025602
0.8037,0.06400,0.53,APPROACH,0.288355,0.576369,0.531355,-0.142857,-0.120880,0.318680,0.272950,0.602998,0.545377,-0.308088,0.532573,0.280440,-0.241758,0.354091,-0.065934,0.010185,0.065616,0.427264,0.013133,0.074355,0.427068,0.066402,0.432393,0.026629
0.8136,0.06480,0.53,APPROACH,0.287592,0.577132,0.533262,-0.296703,-0.120880,0.450550,0.271647,0.604797,0.547499,-0.318897,0.553298,0.284738,-0.202686,0.363858,-0.090354,0.009931,0.066132,0.427293,0.013069,0.075153,0.427068,0.066874,0.432495,0.027665
0.8231,0.06560,0.54,APPROACH,0.286447,0.578277,0.535551,0.340660,0.120880,0.076923,0.270353,0.606606,0.549631,-0.321887,0.566595,0.281604,-0.153846,0.407814,-0.061050,0.009679,0.066834,0.427312,0.013005,0.075950,0.427068,0.067531,0.432615,0.028330
0.8345,0.06640,0.55,APPROACH,0.285303,0.579421,0.537840,-0.274727,0.406593,0.142857,0.269069,0.608426,0.551773,-0.324688,0.580092,0.278668,-0.192918,0.412699,-0.061050,0.009425,0.067535,0.427330,0.012940,0.076748,0.427068,0.068190,0.432736,0.029005
0.8448,0.06720,0.55,APPROACH,0.284159,0.580184,0.540510,-0.010990,0.186813,0.516483,0.267794,0.610255,0.553925,-0.327298,0.601420,0.268299,-0.168498,0.422466,-0.051282,0.008999,0.068236,0.427350,0.012876,0.077545,0.427068,0.068827,0.432857,0.030071
0.8539,0.06800,0.56,APPROACH,0.283396,0.581328,0.542799,0.208790,0.604397,0.406593,0.266528,0.612094,0.556087,-0.337348,0.615320,0.265758,-0.246642,0.446886,-0.031746,0.008745,0.068849,0.427402,0.012812,0.078343,0.427068,0.069402,0.433000,0.030766
0.8640,0.06880,0.57,APPROACH,0.282251,0.582091,0.545088,0.142857,0.054947,0.164837,0.265272,0.613944,0.558258,-0.339578,0.637050,0.263414,-0.163614,0.442002,-0.036630,0.008403,0.069501,0.427404,0.012748,0.079140,0.427068,0.070007,0.433099,0.031853
0.8741,0.06960,0.57,APPROACH,0.281107,0.583236,0.546996,-0.296703,0.252747,0.010990,0.264026,0.615803,0.560440,-0.341618,0.651353,0.268879,-0.241758,0.422466,-0.075702,0.008234,0.070153,0.427400,0.012684,0.079937,0.427068,0.070635,0.433198,0.032568
0.8842,0.07040,0.58,APPROACH,0.280344,0.584762,0.549285,0.032967,0.120880,0.296703,0.262789,0.617673,0.562631,-0.351096,0.658228,0.266932,-0.134310,0.402930,-0.061050,0.008067,0.070814,0.427461,0.012619,0.080735,0.427068,0.071272,0.433362,0.032911
0.8921,0.07120,0.59,APPROACH,0.278818,0.586287,0.551574,-0.296703,0.340660,0.450550,0.261562,0.619553,0.564833,-0.345126,0.665305,0.265183,-0.207570,0.422466,-0.046398,0.007899,0.071651,0.427443,0.012555,0.081532,0.427068,0.072085,0.433479,0.033265
0.9022,0.07200,0.59,APPROACH,0.277674,0.587813,0.553862,-0.076923,0.362637,0.450550,0.260344,0.621442,0.567044,-0.346593,0.672584,0.263632,-0.163614,0.393163,-0.012210,0.007731,0.072400,0.427462,0.012491,0.082330,0.427068,0.072812,0.433619,0.033629
0.9122,0.07280,0.60,APPROACH,0.276529,0.589339,0.555388,-0.296703,-0.032967,0.098900,0.259136,0.623342,0.569265,-0.347870,0.680066,0.277539,-0.231990,0.358974,-0.036630,0.007735,0.073052,0.427450,0.012427,0.083127,0.427068,0.073460,0.433717,0.034003
